id,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
7831377,7700,HOUSE,VILLA,429000,3,,1,0,0,1,0,0,0,984,4,0,AS_NEW
9248279,7022,HOUSE,HOUSE,220000,5,222,1,0,0,1,0,0,0,860,3,0,TO_BE_DONE_UP
9425320,1300,HOUSE,HOUSE,515000,4,275,1,0,0,1,0,1,742,742,3,0,AS_NEW
9281862,1180,HOUSE,APARTMENT_BLOCK,775000,5,230,1,0,0,1,24,0,0,0,3,0,GOOD
9366610,7850,HOUSE,HOUSE,359000,3,170,1,0,0,1,0,1,800,1250,4,0,AS_NEW
9394227,3800,APARTMENT,APARTMENT,237500,1,75,1,0,0,0,0,1,0,0,,0,AS_NEW
9394706,2275,HOUSE,HOUSE,425000,4,163,1,0,0,1,335,1,260,442,3,0,AS_NEW
9353101,9041,HOUSE,HOUSE,329000,3,120,1,0,0,0,0,1,0,271,3,0,JUST_RENOVATED
9272831,9340,HOUSE,MANSION,385000,4,244,1,0,0,1,0,0,0,90,4,0,AS_NEW
9398236,1700,APARTMENT,APARTMENT,748900,3,185,1,0,0,1,32,0,0,0,,0,AS_NEW
9269127,9620,APARTMENT,GROUND_FLOOR,269000,2,102,1,0,0,1,10,1,117,0,,0,AS_NEW
9284072,2300,HOUSE,HOUSE,375000,3,455,0,0,0,0,0,1,0,638,2,0,GOOD
9396205,5060,HOUSE,HOUSE,219000,2,115,1,1,0,1,26,1,145,312,2,0,GOOD
9425218,1060,APARTMENT,DUPLEX,205000,2,95,0,0,0,0,0,0,0,0,,0,TO_RESTORE
8940960,1180,APARTMENT,APARTMENT,268000,1,75,1,0,0,1,20,0,0,0,2,0,TO_BE_DONE_UP
9437519,1050,HOUSE,HOUSE,875000,7,280,1,0,1,0,0,1,20,105,2,0,GOOD
9257615,8400,APARTMENT,APARTMENT,189000,1,60,1,0,0,0,0,0,0,0,2,0,GOOD
9344751,9240,APARTMENT,APARTMENT,289000,2,,0,0,0,1,0,0,0,0,,0,AS_NEW
9411498,9255,APARTMENT,DUPLEX,260000,2,103,1,0,0,0,0,0,0,0,,0,AS_NEW
9410927,1200,APARTMENT,APARTMENT,289000,2,87,1,0,0,0,0,0,0,0,2,0,GOOD
9420778,8501,HOUSE,HOUSE,339000,4,260,0,0,0,0,0,0,0,265,,0,AS_NEW
9245572,3090,HOUSE,EXCEPTIONAL_PROPERTY,1190000,5,400,1,0,0,1,0,1,850,1379,4,0,GOOD
9221570,8530,HOUSE,HOUSE,174500,3,133,0,0,0,0,0,0,0,110,2,0,TO_BE_DONE_UP
9279298,7322,HOUSE,HOUSE,90000,2,79,1,0,0,0,0,0,0,90,2,0,GOOD
9398169,3650,APARTMENT,PENTHOUSE,188000,1,68,1,1,0,1,30,0,0,0,2,0,AS_NEW
9353179,1160,APARTMENT,GROUND_FLOOR,699000,3,118,1,0,0,0,0,1,0,0,3,0,JUST_RENOVATED
9429408,9600,HOUSE,EXCEPTIONAL_PROPERTY,695000,5,1030,0,0,0,0,0,0,0,398,,0,TO_RENOVATE
9124576,2880,APARTMENT,APARTMENT,445000,2,115,1,0,0,1,6,0,0,0,,0,AS_NEW
9418106,8810,HOUSE,HOUSE,274000,3,147,1,0,0,1,45,1,45,126,2,0,AS_NEW
9427047,9470,HOUSE,HOUSE,279000,4,150,1,0,0,1,0,0,0,0,3,0,GOOD
9436323,9150,HOUSE,HOUSE,230000,3,,0,0,0,1,0,0,0,91,3,0,TO_RENOVATE
9402630,1930,HOUSE,HOUSE,460000,4,175,1,0,0,0,0,0,0,362,3,0,GOOD
8719327,3090,HOUSE,FARMHOUSE,990000,5,,0,0,0,0,0,0,0,0,4,0,TO_RESTORE
9378449,1830,APARTMENT,DUPLEX,255000,2,85,1,0,0,0,0,0,0,0,2,0,GOOD
9433857,8670,APARTMENT,APARTMENT,179000,1,45,1,0,0,1,8,0,0,0,2,0,JUST_RENOVATED
9382202,9620,HOUSE,HOUSE,179000,3,125,1,0,0,0,0,1,0,509,,0,TO_BE_DONE_UP
9145225,1420,APARTMENT,APARTMENT,180000,1,55,0,0,0,1,14,0,0,0,,0,GOOD
9344620,9100,HOUSE,HOUSE,319000,4,263,0,0,0,1,0,1,0,170,,0,JUST_RENOVATED
9054228,3950,HOUSE,EXCEPTIONAL_PROPERTY,1950000,8,,1,0,0,0,0,0,0,54632,4,0,AS_NEW
9066918,7370,HOUSE,HOUSE,95000,2,110,1,0,0,1,30,1,50,167,2,0,GOOD
9328647,2350,HOUSE,APARTMENT_BLOCK,2200000,0,,0,0,0,1,0,0,0,1784,3,0,GOOD
